GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYawYaw,0.00100246,535.7
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYY,0.000495562,535.7
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovXX,0.000371481,535.7
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanYaw,2.43494,535.7
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanY,3.92398,535.7
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanX,0.975709,535.7
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Angular,-0.000586796,536.7
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Linear,0.00694992,536.7
f486233d2d95d5817a24f37027c00204,Input Validity,Lidar,Lidar Rate,10,535.84
f486233d2d95d5817a24f37027c00204,Input Validity,Odometry,Odometry Rate,50,535.84
f486233d2d95d5817a24f37027c00204,Input Validity,TF,TF Rate,10,535.84
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYawYaw,0.00166749,535.8
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYY,0.000752872,535.8
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovXX,0.000703937,535.8
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanYaw,2.53568,535.8
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanY,3.92422,535.8
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanX,0.975364,535.8
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Angular,-0.0015113,536.8
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Linear,0.0184891,536.8
f486233d2d95d5817a24f37027c00204,Input Validity,Lidar,Lidar Rate,10,535.94
f486233d2d95d5817a24f37027c00204,Input Validity,Odometry,Odometry Rate,50,535.94
f486233d2d95d5817a24f37027c00204,Input Validity,TF,TF Rate,10,535.94
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYawYaw,0.00168982,535.9
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYY,0.000908699,535.9
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovXX,0.00111119,535.9
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanYaw,2.65354,535.9
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanY,3.92522,535.9
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanX,0.97402,535.9
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Angular,-0.0013728,536.9
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Linear,0.018058,536.9
f486233d2d95d5817a24f37027c00204,Input Validity,Lidar,Lidar Rate,10,536.04
f486233d2d95d5817a24f37027c00204,Input Validity,Odometry,Odometry Rate,50,536.04
f486233d2d95d5817a24f37027c00204,Input Validity,TF,TF Rate,10,536.04
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYawYaw,0.00190891,536
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYY,0.00100004,536
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovXX,0.00169497,536
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanYaw,2.78963,536
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanY,3.92597,536
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanX,0.973031,536
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Angular,-0.000127166,537
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Linear,0.00274496,537
f486233d2d95d5817a24f37027c00204,Input Validity,Lidar,Lidar Rate,10,536.14
f486233d2d95d5817a24f37027c00204,Input Validity,Odometry,Odometry Rate,50,536.14
f486233d2d95d5817a24f37027c00204,Input Validity,TF,TF Rate,10,536.14
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYawYaw,0.0021199,536.1
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovYY,0.000975357,536.1
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,CovXX,0.00236133,536.1
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanYaw,2.94475,536.1
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanY,3.92536,536.1
f486233d2d95d5817a24f37027c00204,Localization Quality,AMCLPose,MeanX,0.973749,536.1
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Angular,0.00192522,537.1
f486233d2d95d5817a24f37027c00204,Localization Stability,TF,Jump Linear,0.0239329,537.1
